open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore,date
1646704800000.0,38268.97,38972.08,38141.55,38614.62,2527.64193,1646708399999.0,97550675.4028156,56827.0,1311.18872,50602326.449492,0.0,2022-03-08 03:59:59.999
1646708400000.0,38614.61,38699.74,38526.21,38695.87,1120.59938,1646711999999.0,43270664.7125056,31878.0,575.79259,22232743.8937143,0.0,2022-03-08 04:59:59.999
1646712000000.0,38696.56,38831.7,38479.88,38550.01,1290.56093,1646715599999.0,49875846.283473,35573.0,643.84483,24884477.2276497,0.0,2022-03-08 05:59:59.999
1646715600000.0,38550.0,38604.38,38230.0,38351.8,1338.45201,1646719199999.0,51366302.835177,37070.0,648.58446,24890452.7424332,0.0,2022-03-08 06:59:59.999
1646719200000.0,38351.81,38508.47,38001.0,38277.69,2476.01053,1646722799999.0,94631502.8126483,51968.0,1245.59692,47605476.152194,0.0,2022-03-08 07:59:59.999
1646722800000.0,38277.68,38758.88,38158.23,38547.79,2492.29126,1646726399999.0,95871045.9588504,54992.0,1298.78276,49953069.4479993,0.0,2022-03-08 08:59:59.999
1646726400000.0,38547.79,39120.0,38460.28,38775.71,3083.21849,1646729999999.0,119637210.066488,67642.0,1631.28518,63302494.1152071,0.0,2022-03-08 09:59:59.999
1646730000000.0,38775.72,39014.7,38700.53,38985.67,1834.84159,1646733599999.0,71321913.9368759,44181.0,969.15894,37669960.221624,0.0,2022-03-08 10:59:59.999
1646733600000.0,38985.67,39186.58,38710.08,39063.62,2179.00416,1646737199999.0,84815190.6749335,50116.0,1197.89683,46629883.2148062,0.0,2022-03-08 11:59:59.999
1646737200000.0,39063.62,39099.99,38736.28,38983.05,1475.37913,1646740799999.0,57434197.904727,44147.0,762.35303,29674535.1817711,0.0,2022-03-08 12:59:59.999
1646740800000.0,38983.05,39226.99,38614.56,38828.17,2975.38847,1646744399999.0,115755312.3071867,64044.0,1403.3083,54580293.5048266,0.0,2022-03-08 13:59:59.999
1646744400000.0,38828.17,39078.66,38619.08,38877.0,2076.47347,1646747999999.0,80649895.2631426,54078.0,1056.52251,41031868.9819359,0.0,2022-03-08 14:59:59.999
1646748000000.0,38876.99,39176.51,38532.9,38763.3,4311.7663,1646751599999.0,167391280.7683618,83172.0,2188.19151,84959538.2126411,0.0,2022-03-08 15:59:59.999
1646751600000.0,38763.31,38896.23,38307.07,38658.34,3752.22054,1646755199999.0,144786767.9371512,78026.0,1810.38389,69853354.7380689,0.0,2022-03-08 16:59:59.999
1646755200000.0,38658.34,38865.46,38139.84,38309.73,3265.27357,1646758799999.0,125541055.0594265,71941.0,1580.3458,60776634.6662605,0.0,2022-03-08 17:59:59.999
1646758800000.0,38309.74,39159.0,38289.05,39071.93,4274.7208,1646762399999.0,166139220.2197271,79406.0,2199.29267,85470657.2406991,0.0,2022-03-08 18:59:59.999
1646762400000.0,39071.94,39362.08,38656.0,38682.81,3893.95335,1646765999999.0,152201728.3926651,81150.0,1865.85193,72922233.9233668,0.0,2022-03-08 19:59:59.999
1646766000000.0,38682.81,38828.22,38465.44,38764.88,2502.87504,1646769599999.0,96730503.651351,55426.0,1314.59899,50804273.916519,0.0,2022-03-08 20:59:59.999
